text_content,label
"Your Bitcoin wallet has been credited with 5 BTC. Withdraw: crypto-wallet.tk",0
"Your internship offer from Goldman Sachs investment banking division confirmed.",1
"URGENT: Your electricity will be cut. Pay bill now: power-company.ml",0
"Your Airbnb booking in Goa for next weekend has been confirmed.",1
"You've been selected for work from home job. Pay registration fee: wfh-jobs.ga",0
"Your GitHub repository 'PhishGuard' has received 100+ stars from developers.",1
"Your credit score has dropped. Check report immediately: credit-check.cf",0
"Dear graduate, your job offer from TCS as Software Developer is confirmed.",1
"You have unclaimed money of $8000. Retrieve: unclaimed-cash.tk",0
"Your Netflix recommendation: Based on your viewing, try 'Stranger Things'.",1
"Your computer warranty has expired. Renew now: warranty-renewal.ml",0
"Congratulations! Your startup has been selected for Y Combinator program.",1
"URGENT: Your social security benefits will stop: social-security.ga",0
"Your internship certificate from Indian Institute of Science, Bangalore.",1
"You've been chosen for paid survey. Earn $500 daily: survey-money.cf",0
"Your Steam account purchase of Cyberpunk 2077 game completed successfully.",1
"Your Medicare coverage will end unless you call: medicare-urgent.tk",0
"Dear candidate, your technical interview for Google SDE role scheduled tomorrow.",1
"Your phone has been infected with malware. Remove now: phone-cleaner.ml",0
"Your internship completion certificate from Microsoft Azure Cloud team.",1
"FINAL WARNING: Your domain will expire. Renew: domain-renewal.ga",0
"Your Coursera course 'Machine Learning by Andrew Ng' certificate ready.",1
"You owe $3000 in student loans. Pay now to avoid legal action: loan-payment.cf",0
"Your job application for Data Scientist at OpenAI has been shortlisted.",1
"Your car warranty is about to expire. Extend coverage: auto-warranty.tk",0
"Dear intern, your summer internship at NASA Jet Propulsion Lab confirmed.",1
"Your credit card has been cloned. Verify details: card-security.ml",0
"Your acceptance letter for PhD program at Carnegie Mellon University.",1
"You qualify for $20000 business loan. No credit check: easy-business-loan.ga",0
"Your internship offer from Tesla Autopilot AI team for summer 2025.",1
"Your internet provider bill is overdue. Service suspended: isp-billing.cf",0
"Your admission to Harvard Business School MBA program is confirmed.",1
"You've been randomly selected for cash prize. Claim $7500: random-winner.tk",0
"Your software engineering internship at Adobe Creative Cloud division.",1
"Your Amazon account was accessed from suspicious location: amazon-security.ml",0
"Dear student, your research paper has been accepted for publication in IEEE.",1
"Your home insurance claim approved for $25000. Process payment: insurance-claim.ga",0
"Your internship completion from Indian Space Research Organisation (ISRO).",1
"URGENT: Your PayPal account limited. Resolve issue: paypal-resolution.cf",0
"Your acceptance to Cambridge University Master's program in AI confirmed.",1
"You've won iPhone 15 Pro Max from Apple giveaway: apple-giveaway.tk",0
"Your software development internship at Uber self-driving car team.",1
"Your eBay account has been compromised. Secure now: ebay-security.ml",0
"Dear researcher, your grant proposal has been approved by National Science Foundation.",1
"Your electricity bill is overdue. Pay $1200 immediately: utility-emergency.ga",0
"Your internship certificate from Goldman Sachs quantitative trading desk.",1
"You've been pre-selected for personal loan of ₹10 lakhs: instant-loan.cf",0
"Your research internship at MIT Computer Science and Artificial Intelligence Lab.",1
"Your Spotify account accessed from unknown device. Verify: spotify-verify.tk",0
"Your acceptance to Stanford PhD program in Computer Science confirmed.",1
"URGENT: Your internet banking will be blocked. Activate: net-banking.ml",0
"Your data science internship at Facebook Reality Labs division completed.",1
"You owe money to IRS. Pay $5000 or face arrest: irs-emergency.ga",0
"Your cybersecurity internship certificate from Lockheed Martin corporation.",1
"Your Gmail storage is full. Upgrade now or lose emails: gmail-storage.cf",0
"Your machine learning research internship at DeepMind Technologies London.",1
"Your phone carrier bill is overdue. Service will be cut: carrier-bill.tk",0
"Your AI research internship completion from OpenAI San Francisco office.",1
"Your Microsoft account was hacked. Change password: microsoft-hack.ml",0
"Dear candidate, your offer for Principal Engineer at Amazon Web Services.",1
"You qualify for government stimulus check of $3200: stimulus-payment.ga",0
"Your blockchain development internship at Coinbase cryptocurrency exchange.",1
"Your router has been hacked. Update firmware immediately: router-security.cf",0
"Your robotics internship certificate from Boston Dynamics engineering team.",1
"URGENT: Your prescription drug coverage ending. Renew: medicare-drugs.tk",0
"Your quantum computing research internship at IBM Quantum Network lab.",1
"Your Netflix account suspended due to payment issue: netflix-payment.ml",0
"Your cloud computing internship completion from Amazon Web Services team.",1
"You've been selected for mystery shopping job. Earn $800 weekly: mystery-shop.ga",0
